host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_private_rooms
2017-10-11,,within an hour,100%,96%,f,39.0,t,t,Clifton Down,51.46621,-2.61111,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,2.0,365.0,2.0,365.0,30.0,365.0,14.0,t,25.0,0.0
2021-08-25,,within an hour,100%,100%,f,1.0,t,t,Redland,51.474014248268624,-2.611095628699995,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,3.0,365.0,3.0,365.0,20.0,131.0,0.0,f,1.0,0.0
2015-12-18,"Bristol, United Kingdom",within an hour,100%,97%,f,33.0,t,t,Cotham,51.46620889474077,-2.6031150790146835,Entire home/apt,6.0,2.5,2.5 baths,4.0,8.0,3.0,365.0,3.0,365.0,27.0,76.0,1.0,t,26.0,0.0
2016-09-22,"Woollahra, Australia",within an hour,100%,94%,t,3.0,t,t,Clifton,51.45872,-2.61937,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2.0,365.0,1.0,365.0,19.0,348.0,24.0,f,1.0,0.0
2015-08-04,"Bristol, United Kingdom",within an hour,80%,100%,f,2.0,t,t,Southville,51.44542,-2.61341,Entire home/apt,7.0,2.0,2 baths,3.0,5.0,1.0,30.0,1.0,30.0,11.0,290.0,46.0,t,2.0,1.0
2014-06-27,"Bristol, United Kingdom",within an hour,100%,96%,t,2.0,t,t,Southmead,51.5,-2.60578,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,5.0,90.0,5.0,1125.0,30.0,90.0,17.0,f,2.0,0.0
2016-03-08,"Bristol, United Kingdom",within an hour,100%,100%,f,1.0,t,t,Southmead,51.5,-2.60554,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,3.0,1125.0,3.0,1125.0,10.0,245.0,67.0,f,1.0,0.0
2016-10-08,"Bristol, United Kingdom",,,,f,1.0,t,t,Central,51.45552,-2.5951,Entire home/apt,4.0,2.5,2.5 baths,2.0,2.0,7.0,365.0,7.0,365.0,13.0,294.0,11.0,f,1.0,0.0
2014-03-31,"Bristol, United Kingdom",within a few hours,100%,94%,t,1.0,t,t,Westbury-on-Trym & Henleaze,51.47808,-2.6145,Entire home/apt,5.0,3.5,3.5 baths,3.0,3.0,2.0,60.0,2.0,60.0,5.0,248.0,103.0,f,1.0,0.0
2019-01-14,"Bristol, United Kingdom",within an hour,100%,100%,t,60.0,t,t,Lawrence Hill,51.45392,-2.57893,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,2.0,1125.0,2.0,1125.0,26.0,266.0,27.0,t,47.0,0.0
2012-01-08,"Bristol, United Kingdom",,,100%,t,3.0,t,t,Easton,51.46501,-2.55558,Private room,2.0,1.0,1 shared bath,1.0,1.0,5.0,1125.0,6.0,1125.0,25.0,175.0,35.0,t,3.0,3.0
2016-01-09,"Bristol, United Kingdom",within an hour,100%,88%,f,1.0,t,t,Central,51.4553343,-2.6002861,Entire home/apt,2.0,1.5,1.5 baths,1.0,2.0,3.0,365.0,1.0,1125.0,19.0,297.0,51.0,f,1.0,0.0
2016-06-25,"Bristol, United Kingdom",within a few hours,80%,62%,f,6.0,t,t,Clifton Down,51.4627706676846,-2.6106268912553787,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,28.0,365.0,28.0,365.0,0.0,230.0,1.0,f,2.0,0.0
2022-01-22,"Bristol, United Kingdom",within an hour,100%,100%,f,6.0,t,t,Lawrence Hill,51.45479631239243,-2.577266469136555,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,1.0,365.0,2.0,365.0,17.0,333.0,1.0,t,4.0,0.0
2018-05-25,"Bristol, United Kingdom",within an hour,100%,92%,f,2.0,t,t,Bedminster,51.4371238,-2.6090786,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2.0,365.0,2.0,365.0,0.0,59.0,6.0,f,2.0,1.0
2019-06-09,"Bristol, United Kingdom",within an hour,100%,100%,t,4.0,t,t,Hengrove & Whitchurch Park,51.41448,-2.57589,Entire home/apt,6.0,2.0,2 baths,3.0,3.0,2.0,12.0,2.0,1125.0,15.0,253.0,34.0,t,3.0,0.0
2019-11-02,,,,,f,2.0,t,t,Avonmouth & Lawrence Weston,51.49568,-2.64827,Entire home/apt,5.0,1.5,1.5 baths,3.0,4.0,1.0,1125.0,1.0,1125.0,30.0,365.0,0.0,f,2.0,0.0
2015-08-02,"Bristol, United Kingdom",within an hour,100%,86%,t,1.0,t,t,Windmill Hill,51.43874,-2.574,Private room,2.0,1.0,1 shared bath,1.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,26.0,f,1.0,1.0
2013-10-18,"Bristol, United Kingdom",within an hour,100%,100%,t,1.0,t,f,Clifton,51.45263,-2.60955,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,3.0,130.0,3.0,130.0,20.0,60.0,88.0,f,1.0,0.0
2015-02-23,"England, United Kingdom",within an hour,100%,85%,t,1.0,t,t,Southville,51.44247817993164,-2.607893943786621,Private room,2.0,1.5,1.5 baths,1.0,1.0,2.0,1125.0,2.0,1125.0,5.0,50.0,43.0,f,1.0,1.0
2015-09-11,"Bristol, United Kingdom",within an hour,90%,100%,f,1.0,t,t,Clifton,51.45742,-2.61658,Entire home/apt,5.0,1.0,1 bath,2.0,3.0,2.0,24.0,1.0,24.0,11.0,320.0,104.0,t,1.0,0.0
2016-03-31,"Bristol, United Kingdom",within an hour,100%,100%,f,210.0,t,t,Southville,51.4445825,-2.6094786,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1.0,365.0,1.0,365.0,2.0,307.0,18.0,t,148.0,3.0
2019-10-13,,within a day,100%,93%,f,4.0,t,t,Ashley,51.46649,-2.58731,Private room,1.0,2.0,2 shared baths,1.0,0.0,1.0,14.0,1.0,14.0,0.0,10.0,40.0,f,3.0,3.0
2024-09-03,,within an hour,100%,98%,f,67.0,t,t,Henbury & Brentry,51.5,-2.616252690449681,Entire home/apt,12.0,2.0,2 baths,5.0,7.0,2.0,365.0,7.0,365.0,0.0,304.0,1.0,t,13.0,0.0
2014-11-26,,within an hour,100%,52%,f,5.0,t,t,Filwood,51.42361,-2.59675,Entire home/apt,6.0,1.5,1.5 baths,3.0,4.0,3.0,365.0,1.0,365.0,22.0,170.0,8.0,t,1.0,0.0
2012-03-14,"London, United Kingdom",within an hour,80%,43%,f,2.0,t,t,Ashley,51.47155,-2.58371,Private room,4.0,1.0,1 private bath,3.0,4.0,6.0,26.0,6.0,26.0,23.0,358.0,0.0,f,2.0,1.0
2024-04-23,,within an hour,80%,73%,f,5.0,t,t,Clifton Down,51.45864,-2.61115,Private room,1.0,1.0,1 private bath,1.0,1.0,1.0,365.0,1.0,365.0,28.0,266.0,0.0,t,5.0,5.0
2019-11-05,"Bristol, United Kingdom",within a few hours,100%,100%,t,1.0,t,t,Bishopston & Ashley Down,51.476,-2.5862,Private room,2.0,1.0,1 private bath,1.0,1.0,2.0,1125.0,2.0,1125.0,0.0,318.0,91.0,f,1.0,1.0
2016-03-31,"Bristol, United Kingdom",within an hour,100%,100%,f,210.0,t,t,Clifton Down,51.46337890625,-2.609638929367065,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1.0,365.0,1.0,365.0,11.0,338.0,49.0,f,148.0,3.0
2024-09-21,,,,84%,f,2.0,t,t,Hillfields,51.47686,-2.52,Private room,2.0,1.0,1 private bath,1.0,1.0,3.0,365.0,2.0,1125.0,14.0,60.0,3.0,f,2.0,2.0
2015-12-05,"London, United Kingdom",within an hour,100%,100%,f,1.0,t,t,Southville,51.44243,-2.59846,Entire home/apt,4.0,1.5,1.5 baths,2.0,2.0,3.0,365.0,3.0,1125.0,12.0,266.0,212.0,t,1.0,0.0
2023-12-20,"Bristol, United Kingdom",within an hour,100%,93%,t,1.0,t,t,Southville,51.44396,-2.58816,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,3.0,365.0,1.0,365.0,22.0,147.0,57.0,f,1.0,0.0
2024-11-12,"Bristol, United Kingdom",within an hour,100%,100%,f,1.0,t,t,Frome Vale,51.48013,-2.52924,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,2.0,730.0,1.0,1125.0,5.0,316.0,7.0,t,1.0,0.0
2017-03-06,,within an hour,100%,100%,f,1.0,t,t,Southville,51.44238,-2.6183,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,2.0,1125.0,2.0,1125.0,3.0,306.0,100.0,t,1.0,0.0
2021-06-14,"England, United Kingdom",a few days or more,0%,0%,f,1.0,t,t,Ashley,51.46986,-2.56989,Private room,6.0,2.0,2 shared baths,3.0,3.0,1.0,1125.0,1.0,1125.0,30.0,180.0,25.0,f,1.0,1.0
